id,word,definition
9883,Schlep,to haul or carry something heavy or awkward
9884,Schlump,a lazy and sloppily dressed person who does everything in a slow or dull way
9885,Scholar,a highly educated person who attends school and studies
9886,Scholarly,academic; intellectual
9887,Scholastic,related to academic studies or education
9888,Scientific Method,"a longstanding procedure in science in which one observes something, forms a hypothesis, experiments on their hypothesis, and modifies it according to the result"
9889,Scintilla,a small amount of something
9890,Scintillating,remarkably witty
9891,Scoff,to sneer or laugh with scorn
9892,Scoffed,laughed at with disdain or scorn
9893,Scold,to strongly criticize
9894,Scope,the extent or range of which something is deals with
9895,Scorch,to burn the surface something
9896,Scorching,extremely hot
9897,Scorn,to show disdain or contempt for something or someone
9898,Scorn,disrespect or disapproval for someone or something
9899,Scorned,rejected or rebuffed
9900,Scoundrel,"a bad, dishonest person"
9901,Scour,to scrub hard
9902,Scourge,"a persistent pest, illness, or source of trouble"
9903,Scowl,a frown of anger or displeasure
9904,Scrag,a bony or scrawny person or animal
9905,Scraggly,used to describe a person who is very thin and bony looking
9906,Scramble,to move quickly or frantically to make something happen
9907,Scrap,a left over piece of something that isn’t of any use
9908,Scrape,"the abrasive action of rubbing against something (can be voluntary or involuntary) that results in the removal of dirt, skin, etc."
9909,Scrawny ,extremely thin and frail
9910,Screech,"to give out a loud, piercing sound"
9911,Screenplay,the story script and shooting directions prepared for motion-picture production
9912,Screw,to fasten or tighten something in place by turning it
9913,Scribble,to write or draw something quickly or without much focus
9914,Scribe ,a person who writes for a living
9915,Scrimmage,a practice game which does not count on a team's record
9916,Scrooge,a gloomy grump
9917,Scrounge,to get things (usually of little value) by asking for them instead of buying them
9918,Scrub,"to rub a service very hard, usually with a brush or some other object"
9919,Scrumptious,delicious; mouthwatering
9920,Scruples,internal factors that prevent a person from behaving in a certain manner
9921,Scrupulous,very careful about doing something correctly
9922,Scrutinize,examine or inspect closely
9923,Scrutiny,careful examination of something or someone
9924,Scuffle,"rough, disorderly fight or struggle at close quarters"
9925,Scullery,"a small room, next to a kitchen, where washing up and other domestic chores are done"
9926,Sculpture,a piece of art created by carving or chiseling away wood or stone
9927,Scummy,dirty; nasty
9928,Scurrilous,something that is said or done to ruin a person’s reputation
9929,Scurry,to move rapidly using small steps
9930,Scurry,to move hurriedly or quickly
9931,Scurvy,deficiency of vitamin C
9932,Scuttle,to scamper or dash
9933,Scythe,"a tool with a long curved blade at the end of a long pole, used for cutting grass or grain by hand"
9934,Seafaring,sailing through waters on a regular basis
9935,Seal,to fasten something shut
9936,Seam,the edge where two pieces of material are stitched together
9937,Seamless,smooth and without interruption
9938,Seamstress,a woman who’s profession is to sew and alter clothing
9939,Sear,"to char, scorch, or burn the surface of something with quick heat"
9940,Search,to look for something that can’t be found at the moment
9941,Season,to add flavor to something
9942,Seasonal,pertaining to a particular time of the year
9943,Seasoned,to be skilled at something based on experience
9944,Seat,something that one sits on
9945,Secede,"to withdraw from an organization, alliance, or association"
9946,Seclude,to separate from people
9947,Seclusion ,the circumstance of being isolated from others
9948,Second Nature,"something that is done so often by one person it is normal for them, though typically not normal for everyone"
9949,Secondary Source,"information about a subject or event that is not gained first hand, but later on"
9950,Secondary,coming after something else that is usually more important
9951,Secondhand,describes goods that have been passed down after being owned by one other person
9952,Secondment,a temporary period of time in which an employee is transferred to a new position or organization
9953,Secrecy,the act of keeping something secretly hidden
9954,Secret,something that is not to be known or seen by others
9955,Secretary,"an office assistant, usually in charge of records"
9956,Secrete,to produce and give off
9957,Secretion,the process of releasing a substance (from an animal’s body)
9958,Secretive,"describes someone who hides their intentions, thoughts, and actions from other people"
9959,Sect,"a small religious or political group that separates from a larger group. Sects have many of the same beliefs and practices as the original group, but often have some different doctrines"
9960,Sectarian,adhering strongly to a certain doctrine or sect
9961,Section,part or segment of something larger
9962,Sectional,pertaining to a specific section or segment of a larger group
9963,Sectionalism,the condition of being focused on a specific section or sphere
9964,Sector,"a specific part of the country, economy, or a company"
9965,Secular ,not driven by religious principles
9966,Secure,to attach something soundly
9967,Security,a private police force that is put in charge of guarding a person or a place
9968,Sedan,a two or four door vehicle that is made to hold at least four people
9969,Sedate,to soothe or calm
9970,Sedately,"calmly, without excessive emotion"
9971,Sedative,"an agent or drug that sedates, having a calming or soothing effect, or inducing sleep"
9972,Sedentary,staying or living in one place
9973,Seder,a Jewish ritual dinner that marks the beginning of the Jewish holiday of Passover
9974,Sediment,collection of small particles
9975,Sedition,the act of encouraging opposition to authority
9976,Seduction,the act of enticing or attracting someone
9977,Seductive,tempting; alluring
9978,Sedulous,"diligent, hard working and persistent"
9979,Seed,reproductive grains of a plant that are used to grow another plant
9980,Seek,to look for something
9981,Seemingly,apparently; appearing to be
9982,Seemly,appropriate or suitable
9983,Seep,to slowly flow through a small opening
9984,Seer,a person who claims to be able to see the future
9985,Seethe ,"to be in an emotionally frantic condition, usually one rooted in rage or anger"
9986,Seething,intensely hot; boiling with anger.
9987,Segment,one part of something that is divided into sections
9988,Segregate ,to place apart because of real or perceived differences
9989,Segregation,setting apart or separation
9990,Segue,to fluidly change from one form or situation to another
9991,Seismic,Caused by or related to an earthquake
9992,Seize,to gain through forcible means
9993,Seizure,The capturing of something by force
9994,Selcouth,interestingly strange or uncommon
9995,Seldom,hardly ever
9996,Select,to choose something
9997,Selection,a choice or range of different options
9998,Selective,intentionally choosing some things and not others
9999,Self-assured,showing confidence in one’s self and your own abilities/skills
10000,Self-Concept,the image one has of him or herself
10001,Self-conscious,uncomfortably over-conscious of oneself; worried or nervous by what other people think of you
10002,Self-control,the ability to manage one’s own desires and behavior
10003,Self-discipline,the ability to control one’s emotions and overcome one’s weaknesses
10004,Self-evident,obvious and clear; not needing any explanation
10005,Self-explanatory,completely understandable; plain and clear
10006,Self-preservation,a natural instinct to protect oneself from harm or death
10007,Self-righteous,"believing that you are better, superior, and more moral than other people"
10008,Selfish,to think of oneself
10009,Selfless,thinking only of others and not of oneself
10010,Selflessness,the act of thinking of others instead of yourself
10011,Selves,essential beings or personalities of people
10012,Semantics,"the message or meaning behind a term, phrase, or sentence"
10013,Semaphore,"a mechanical gadget with arm, lights, or flags that is used as a signal"
10014,Semblance,an outward appearance of something; an assumed appearance
10015,Semi-final,a game or round just before the final match
10016,Semiannual,Happening twice a year
10017,Semicircle,a half circle shape
10018,Semiconductor,"a substance that is in between a conductor and an insulator, making it a good medium for controlling electrical current"
10019,Seminal,important and highly influential on later developments
10020,Seminar,a training session usually lasting a few hours
10021,Seminary,a theological school that prepares students to become priests and pastors
10022,Semiotics,"the study of signs and symbols, especially as means of language or communication"
10023,Sempiternal,everlasting; having no start or no end
10024,Senate,a body of government that represents a specific area and reports to the national governing body; usually the group that writes and passes laws
10025,Senectitude,old age; the last stage of life
10026,Senescence,old age
10027,Senescent,"growing old, aging"
10028,Senile,confused or memory loss as a result of old age
10029,Senility,the physical and mental decline connected to old age
10030,Seniority,refers to having a high ranking in an organization due to having been there for a longer period of time than others
10031,Sensation,a feeling picked up by one of the five senses
10032,Sensational,astonishing and unbelievable
10033,Sensationalism,"the presentation of stories by a journalist in a way that excites people emotionally, often at the expense of the truth or honesty"
10034,Sense of humor,having the skill to notice wit and funniness
10035,Sense,"the bodies ability to experience sight, sound, touch, taste, or smell"
10036,Sense,to feel or know something
10037,Sense,to detect or recognize
10038,Senseless,pointless; done for no clear reason
10039,Sensibility,one’s ability to feel or be aware of something
10040,Sensible ,having the ability to make sound decisions
10041,Sensitive,highly responsive or reactive
10042,Sensitivity,"the tendency to be easily upset, influenced, changed, or damaged by outside factors"
10043,Sensory,associated with the senses
10044,Sensual,inducing pleasurable or erotic sensations
10045,Sensuous,associated with the senses
10046,Sententious,"using few words, often in a preachy manner"
10047,Sentience,"awareness and the capacity to sense and feel, particularly pleasure and pain"
10048,Sentient,being able to feel or sense things
10049,Sentiment,"a thought, view, or attitude; an opinion"
10050,Sentimental ,having excessive emotions about certain things or people
10051,Sentinel ,one whose job is to keep watch and protect
10052,Sentry,a solider whose job is to stand watch and guard against intruders
10053,Separate,to break something up or divide it into parts
10054,Separately,occurring on an individual basis
10055,Separation of Powers,the political system in which the power of the government is split into different branches to avoid consolidation
10056,Separation,disconnection or detachment
10057,Separatist,"of the belief in full separation of a group from a larger whole (usually based on race, religion, culture, or ethnicity.)"
10058,Sepsis,a dangerous medical condition in which bacteria is present in the blood system
10059,Septic,infected or contaminated with disease-causing organisms
10060,Septuagenarian,a person who is in the seventy to seventy-nine age range
10061,Sepulcher,a place where one is buried
10062,Sepulchral,extremely gloomy
10063,Sequacious,tending to follow; missing original thoughts or independence
10064,Sequel,a movie or book that continues a tale
10065,Sequelae,aftereffects of a disease or injury
10066,Sequence,arrangement of events in a specific order
10067,Sequent,consecutive or something that is next
10068,Sequential,going in order from first to last
10069,Sequester,to be put away for a specific reason
10070,Seraph,the highest ranking angel in the Bible
10071,Seraphic,angelic and stunning
10072,Sere,dry and withered
10073,Serenade ,to perform a song for a special person
10074,Serendipity, the fact of finding pleasant or useful things by chance
10075,Serene,calm; peaceful
10076,Serenity,"untroubled, calm, and peaceful"
10077,Serf,a medieval peasant who was forced to work on a manor
10078,Serfdom,the state of being a medieval peasant who was forced to work on a manor
10079,Sergeant,a noncommissioned military officer ranking
10080,Serial,describing a person who commits an act repetitively
10081,Seriatim,relating to a series
10082,Series,"a sequence or chain of people, things, or event"
10083,Serious,requiring careful thought and deep consideration
10084,Sermon,a speech or talk on a religious or moral subject
10085,Serpent,a snake
10086,Serpentine,"marked by a twisting appearance, like the form of a serpent"
10087,Serrated,having a row of sharp or tooth-like projections
10088,Serried,rows of people or objects grouped together
10089,Servant,a person who performs working responsibilities for others
10090,Serve,to work for or provide duties of service for someone else
10091,Service,work that is done for others as a business or an aid to others
10092,Serviceable,"able to be serviced, examined, or repaired"
10093,Servile,submissive; willing to serve others
10094,Servility,eagerness to serve and please others
10095, Servitude,the situation in which one individual controls another person’s life
10096,Sesquipedalian,a very long word
10097,Sessile,an organism that is immobile and cannot move
10098,Session,a period of time designated for a specific purpose
10099,Set Forth,to begin a trip or journey
10100,Set out,to begin a journey or start something
10101,Setback,a reversal of progression
10102,Settee,a seat or bench with a back and armrests
10103,Setting,the type of surroundings that something takes place in
10104,Settle,to reach a decision or agreement
10105,Settlement,a formal decision or agreement that settles a dispute
10106,Settler,one who settles in a new location
10107,Sever,to detach by cutting figuratively or literally
10108,Several,a number higher than two yet relatively low in number
10109,Severance,ending of employment
10110,Severe,very strong and intense
10111,Severest,the worst and harshest when compared to other severe events
10112,Severity,the state of being strong and intense
10113,Sew,to create or repair by making stitches with a needle and thread
10114,Sexism,gender discrimination and prejudice
10115,Sextet,a musical piece written for six people to sing or six instruments to be played
10116,Sextuple,to be or have six portions or people
10117,Shabbier,looking older and more worn out than something else
10118,Shabby,in poor condition because of age or wear
10119,Shack,a small building that is not put together very well
10120,Shackle,anything that hinders an individual from doing what he or she wants to do
10121,Shade,covering from the sun
10122,Shadow,to follow someone
10123,Shady,sly and suspicious
10124,Shaft,the long handle of a weapon or tool
10125,Shake a leg,a phrase used to tell someone to start or do something in a hurry
10126,Shake up,"to greatly startle, shock, or upset someone"
10127,Shake,to tremble or quiver
10128,Shake,to tremble or vibrate
10129,Shaken,upset and unable to remain calm
10130,Shakily,unsteadily; wobblingly
10131,Shall,an alternative for the word ‘will’ that tells what someone will do
10132,Shall,will have to; must
10133,Shallow,uninterested in things that are serious or deep; seeing only what is noticeable
10134,Sham,a fake; an imitation that purports to be genuine
10135,Shaman,a tribal figure that serves as a go-between for the physical and spiritual worlds
10136,Shambled,"to move with a slow, shuffling, awkward gait"
10137,Shambles,a state of disorder or chaos
10138,Shambolic,untidy or muddled
10139,Shame,"the hot, nauseating feeling that comes with making a bad decision or of fool of yourself"
10140,Shamefacedly,in a way that shows a person is awkwardly embarrassed
10141,Shameful,causing disgrace or embarrassment
10142,Shameless,unacceptable; unabashed
10143,Shamrock,a three-leaved green plant (clover) that is used as a symbol for Ireland
10144,Shanghai,to abduct or kidnap someone
10145,Shank,the leg of a person or animal
10146,Shanty,a shack or hut that is built shabbily
10147,Shard,"a sharp piece of a broken material such as ceramic, glass, or metal"
10148,Share,a portion or part of something larger that has been divided out amongst people
10149,Sharecropper,a farmer paying rent with crops to the landowner
10150,Shareholder,a person who owns a portion of a company
10151,Shark,a person who takes advantage of the misfortune of others for personal gain
10152,Sharp-tongued,harsh or critical in speech
10153,Sharp,having a pointed edge that cuts something easily
10154,Sharp,having an edge or point that can cut something
10155,Sharply,intensely; suddenly
10156,Shatter,to break something into multiple pieces
10157,Shattered,broke into many pieces
10158,Shawl,a wool garment worn by women to cover their head or shoulders
10159,Sheaf,any collection of things bound together; a bundle
10160,Shear,"to cut something, usually referring to the hair of a person or animal"
10161,Sheath,"a protective covering, usually of a knife or sword"
10162,Shed,to take something off
10163,Sheen,a quality of things with a smooth and shiny surface
10164,Sheepish ,flustered; embarrassed
10165,Sheer,"of transparently thin quality, usually of fabric"
10166,Shell,the hard-outer covering of something
10167,Shelter,to give temporary protection from something bad such as weather or danger
10168,Shenanigans,"actions or behaviors that are dishonest, immoral, or stupid"
10169,Shepherd,a person who tends and guides over a flock of sheep
10170,Sherbet,"a creamy dessert similar to ice cream and sorbet that is usually made with milk, fruit juice, gelatin, and egg whites"
10171,Shibboleth,"a behavior or word that shows someone belongs to a particular class, ethnicity, culture, profession, nation, etc."
10172,Shield,to protect a person or thing from something dangerous or unpleasant
10173,Shift,to move from one place to another over a small distance
10174,Shiftless,having a shortage of ambition; lazy
10175,Shilly shally,in an uncertain or wavering way
10176,Shimmer,to twinkle and shimmer with a soft light
10177,Shine,to give off bright light
10178,Ship,to transport goods from one place to another
10179,Shipment,a quantity of goods that are being shipped
10180,Shipper,a person or company that transports goods
10181,Shipwreck,the destruction of a ship at sea
10182,Shirk,to dodge responsibilities
10183,Shiver,"to shake or tremble slightly as a result of being cold, sick, or afraid"
10184,Shoal,a group of fish swimming together in shallow water
10185,Shock,to surprise someone
10186,Shoddy,not done or made well
10187,Shogun,a postmodern military ruler of Japan who was just under the emperor
10188,Shone,gave forth shining light
10189,Shoo-in,a person or thing that is certain to win or succeed
10190,Shook,making something emotionally disturbed
10191,Shoot,"to fire, launch, or otherwise propel a projectile"
10192,Shoot,to kill or wound something with a bullet or an arrow
10193,Shooter,a person using a gun
10194,Shore,the land along the edge of a sea or other body of water
10195,Shorn,to cut
10196,Short,brief or temporary; Lasting for a small period of time
10197,Shortage,a lack of something
10198,Shortcoming,a deficiency or failing
10199,Shortfall,a failure to get an expected return
10200,Shorthand,a method of writing using abbreviations and symbols
10201,Shorthand,writing in a shortened way so that characters and marks are used in substitution of words
10202,Shortly,soon or in a short time
10203,Shortstop,a baseball position between second and third base
10204,Shout,to yell or speak loudly
10205,Shove,to roughly push
10206,Show off,to deliberately act in a way to showcase your superiority or get attention
10207,Showboat,to showing off an accomplishment
10208,Showcase,to display something
10209,Showdown,a confrontation or faceoff
10210,Showplace,an estate or building that is used as an example of beauty or history
10211,Showrunner,a creator of a television show that both directs and writes episodes for the production
10212,Shrapnel,the pieces of a bomb or bullet that has exploded
10213,Shred,to tear or cut something into small pieces
10214,Shrew,a woman with an unpleasant personality
10215,Shrewd,having or showing sharp powers of judgment; sharp-witted
10216,Shriek,to issue a piercing yelp or call
10217,Shrift,remission of sins granted after confession
10218,Shrill,sharp and high-pitched
10219,Shrine,"a place where you worship or pay tribute to a specific deity, ancestor, hero, martyr, saint, or similar figure of awe and respect"
10220,Shrink,to lessen in size or stature
10221,Shrive,to gain absolution for ones sins
10222,Shrivel,become wrinkled or get smaller
10223,Shriveled,wrinkled and withered
10224,Shroud,an object that conceals something or someone
10225,Shrouded,covered to the point of being hidden
10226,Shrug,"to show indifference or disregard, sometimes by raising and contracting the shoulders"
10227,Shrunk,to cause something to shrink or reduce
10228,Shtick,a comedy routine or act
10229,Shudder,to tremble suddenly
10230,Shuffle,"to mix-up, rearrange, or jumble objects"
10231,Shun,"to avoid, especially persistently"
10232,Shunt,to push or shove something
10233,Shutter,a device that opens and closes to expose the film in a camera
10234,Shuttle,a form of transportation that travels between two places on a regular basis
10235,Shy,timid or bashful
10236,Shyly,doing something in a timid or bashful way
10237,Shyster,"a person, generally a lawyer, that uses fraudulent or questionable methods to do business"
10238,Sibilant,associated with a hissing noise
10239,Sibling,one’s brother or sister
10240,Sibylline,having a secret meaning
10241,Sick,affected by a physical or mental illness
10242,Sickle,describes something with a curved or crescent-like shape
10243,Sickly,having weak or unhealthy feelings
10244,Sickness,illness or ailment
10245,Side-eye,a sidelong glance that shows disapproval or disdain
10246,Sidekick,a person who is an assistant or close associate to another person and helps them in some way
10247,Sidelines,situation where one is witnessing an activity and not joining in
10248,Sidereal,"relating to distant stars, planets, or constellations"
10249,Sidestep,to avoid or dodge something
10250,Sidetrack,to cause someone to be distracted from an important issue
10251,Sidewalk,a paved path for people to walk on beside a roadway
10252,Sidle,"to move in a discreet manner, often by walking sideways"
10253,Siege,"a circumstance in which a group, usually a military or law enforcement agency, surrounds an area or building in an attempt to take it over"
10254,Siesta,an afternoon nap that is usually associated with Mexico or Latin countries
10255,Sieve,a utensil with holes that is used to separate items
10256,Sift,to examine something carefully in order to locate an object of value
10257,Sigh,an audible release of air used to express a feeling
10258,Sight,"vision, or the literal ability to see"
10259,Sightseeing,related to traveling around a region seeing interesting sights
10260,Sign,to write or inscribe something
10261,Signal,a gesture or sign used to communicate
10262,Signatory,"the signer of an official document, either a person or a country"
10263,Signature,a person’s name written by his or her own hand
10264,Signature,a person's name written distinctively as a form of identification
10265,Significance,worthy or valuable in a certain way
10266,Significant,"meaningful, noteworthy or important"
10267,Signify,to mean or show something
10268,Silence,complete absence of noise or sound
10269,Silent,not making or accompanied by any sound
10270,Silhouette,a black outline of the shape of a person or thing
10271,Silky,smooth and soft with a glossy texture
10272,Sill,a piece of wood or metal that forms a ledge at the foot of a window opening or doorway
10273,Silly,acting ridiculous or childish
10274,Silly,goofy and playful
10275,Silo,a farm tower used to store grain
10276,Silt,fine deposits of silt or clay that are carried by moving water or wind and settle at the bottom of a river
10277,Silver lining,"a situation which may seem depressing, glum or hopeless but there seems to be a possibility of something good to come out of it"
10278,Simian,of or pertaining to monkeys or apes
10279,Similar,alike or close to the same
10280,Similarity,a likeness or resemblance
10281,Similarly,in a like manner
10282,Simile,a comparison that generally uses like or as to make lofty or exaggerated descriptions of a person or object
10283,Similitude,the condition of being alike
10284,Simmer,to cook slowly below boiling temperatures
10285,Simony,"the act of selling church offices, roles, or religious pardons"
10286,Simpatico,to be well-matched and like-minded
10287,Simper,a silly or shy grin
10288,Simple,easy; effortless
10289,Simpleton,an unintelligent or foolish person
10290,Simplicity,the state of being easy or simple
10291,Simplify,to make something easier to understand or do
10292,Simply,in a plain and straightforward manner
10293,Simulacrum,an image or representation of a person or an image
10294,Simulate,to duplicate or replicate an image or a behavior
10295,Simultaneously,at the exact moment
10296,Sin,an act that is against a religious or moral law
10297,Since,from then until now
10298,Sincere,genuine; meaning what one says or does; honest
10299,Sincerely,in a manner that sounds truthful or genuine
10300,Sincerity,honesty; in a way that is free of deceit
10301,Sinecure,a position that requires no work but still gives a payment; a cushy job
10302,Sinew,sturdy tissue that links bones to muscles; also referred to as a tendon
10303,Sinewy,powerful and sturdy
10304,Sinful,wrong morally or ethically
10305,Sing,to use one’s voice to make musical sounds
10306,Singe,to burn something in a superficial way
10307,Single-file,one behind the other
10308,Single,one solitary or lone object
10309,Singular,"remarkable, extraordinary"
10310,Singularity,the act of being the only one of something; on its own
10311,Sinister,wicked or evil
10312,Sink,to float down
10313,Sinner,a person who does things that are wrong or immoral according to religious law
10314,Sinuous,winding and twisting
10315,Sip,to drink something slowly
10316,Siphon,to draw off liquid by means of a tube
10317,Sire,"the father of an animal, especially a horse or bull"
10318,Siren,an object that makes a loud noise as a warning
10319,Sisyphean,describing something that appears or actually is endless
10320,Site,a place where a specific event has occurred
10321,Situate,to place something
10322,Situation,the location or circumstances of something compared to the things around it
10323,Situation,a set of circumstances or surroundings that one is in
10324,Situational,dependent upon a certain set of circumstances or situations
10325,Sizzle,to make a hissing sound while frying or burning
10326,Skedaddle,to flee or go away hastily
10327,Skein,the V-formation that ducks and geese fly in when they are migrating
10328,Skeleton,an internal framework or body used to protect and support
10329,Skeptic,a person who doubts that an idea or belief exists or is valid
10330,Skeptical,having reservations or doubts about something
10331,Sketch,a rough drawing of something
10332,Skew,"slanted, crooked"
10333,Skewed,leaning towards a side
10334,Skewer,a piece of metal or wood used to suspend food while cooking
10335,Skiff,a boat small enough for sailing or rowing by one person
10336,Skill,a particular ability or expertise
10337,Skilled,having the ability or skill to do something well
10338,Skillful,being good at doing a certain task
10339,Skim,to go over something quickly
10340,Skinflint,a person who spends as little money as possible
10341,Skinny,extremely thin
10342,Skip,to move past one thing in order to do the next
10343,Skipper,the captain of a ship or boat
10344,Skirmish,a skirmish is a brief argument
10345,Skirt,skirt is to go around something instead of directly through it
10346,Skirting,skirting is going around something instead of straight through it
10347,Skittered,glided or skipped lightly over the surface of something
10348,Skittering,to glide or skip lightly over the surface of something
10349,Skittish ,scared by even the smallest of things
10350,Skulduggery,behavior characterized by tricking someone into something or cheating them through lies or misinformation
10351,Skulk ,to move about in a sneaky way
10352,Skyrocket,to rise very quickly
10353,Skyrocket,to increase very steeply and quickly
10354,Skyscraper,a skyscraper is a tall building with many stories
10355,Slab,"a slab is a large, thick piece of wood, concrete, or stone"
10356,Slack,"slack means loose, not tight"
10357,Slacken,slacken means to loosen or lessen
10358,Slain,slain means to kill in a violent manner
10359,Slake,slake means to quench or satisfy one’s thirst
10360,Slam-dunk,an expression that means to achieve or accomplish something easily
10361,Slam,to shut something loudly and with great force
10362,Slammer,a slang word for prison or jail
10363,Slander,to make a statement that cannot be proven in order to injure someone’s reputation
10364,Slang,a form of informal language
10365,Slant,"a slant is a lean, bend, or slope"
10366,Slapdash,done quickly without consideration for accuracy
10367,Slash,a slash is a cut
10368,Slate,a thin piece of rock that is often used a writing surface
10369,Slaughter,the killing of a large number of animals or people
10370,Slave,a person who is legally owned by another
10371,Slavery,the practice of owning people as property and requiring them to serve and work for free
10372,Slay,to kill something in a violent way
10373,Sleazy,"shabby, dishonest, immoral"
10374,Sleet,rain and snow mixed
10375,Sleigh,"a sled drawn by horses, especially reindeer"
10376,Sleight,"the manipulation of cunning or skill, particularly as a means of deception"
10377,Slender,slim; lean
10378,Sleuth,a detective or investigator who solves mysteries
10379,Slew,to have killed something/someone
10380,Slice,to cut something
10381,Slick,smooth and glossy (usually of a surface)
10382,Slide,to scoot or move across something without lifting from the item
10383,Slight,small or minimal in degree
10384,Slightly,a tiny bit
10385,Slim,slight or unlikely; slender or thin
10386,Slimy,"covered in or having a moist, soft, and slippery surface that is usually considered gross or repulsive"
10387,Slip,to slide or fall after losing one’s balance or footing
10388,Slippery Slope,a series of events in which one bad decision leads to a cascading number of negative consequences
10389,Slipshod ,performed too rapidly
10390,Slit,"a long, narrow cut or opening"
10391,Slog,to work extremely hard over a period of time
10392,Slogan,a short noticeable motto for marketing a product or service
10393,Slope,a surface that has one end that is higher than the other
10394,Sloppily,"messy, dirty, disheveled"
10395,Slosh,the sound of splashing
10396,Slothful,lazy and idle; wanting to do nothing
10397,Slouch,"to stand or sit in a stooped, slumped, or drooping way"
10398,Slough,to cause to shed or purge
10399,Slovenly,having a dirty appearance
10400,Slug,a slimy mollusk that lacks a shell and secretes mucous as it drags its body along the ground
10401,Sluggard,a generally lazy and unproductive person
10402,Sluggish,slow-moving and lacking in energy
10403,Slum,"a poor area of a city where the living conditions are really bad, and the houses are falling apart"
10404,Slumber,sleep; rest
10405,Slumgullion,a cheap stew that is made of meat and vegetables but is thin like water
10406,Slump,"to fall suddenly of prices, values, and sales"
10407,Slunk,crept or snuck
10408,Slur,to speak and mumble in a way that the words run into each other and can’t be understood
10409,Slush,ice or snow that is partially melted
10410,Sly,having or showing cleverness in a cunning or deceitful manner
10411,Smack,to hit something or someone quickly with an object or the palm
10412,Smackdown,the result of a humbling confrontation or defeat
10413,Small,of lesser size than normal
10414,Smarting,the sensation of feeling a sharp pain or hurt
10415,Smash,to break something into several pieces through brute force
10416,Smear,to spread a substance messily
10417,Smell,to detect the odor or scent of something using your nose
10418,Smelt,to extract metal from ore through a heating process
10419,Smile,to turn the corners of one’s mouth up as a way of showing happiness or kindness
10420,Smirk,a confident and often gloating smile
10421,Smirk,a kind of smile that one gives when acting in a smug or conceited way
10422,Smite,to strike something with a firm blow
10423,Smithereens,very tiny pieces
10424,Smitten,in love
10425,Smog,fog or haze that is polluted with smoke
10426,Smolder,to burn with no flame and little smoke; to have strong restrained feelings
10427,Smooth,having a surface texture that is flat and level with no bumps or uneven spots
10428,Smoothly,"in an easy, flowing way"
10429,Smorgasbord,a collection containing a variety of things
10430,Smote,to knock down or kill with great force
10431,Smother,to restrict or stifle the airflow of someone or something requiring air or oxygen
10432,Smudge,a smeared mark on the surface of something
10433,Smug ,extremely satisfied with oneself
10434,Smuggle,to bring something into or out of a place by concealing it
10435,Snag,to tear or rip something after catching it on a sharp projection of some kind
10436,Snaggletooth,a smile with a tooth or teeth that are crooked and project out past others
10437,Snap,to break
10438,Snapshot,an informal photograph taken quickly
10439,Snare,a trap
10440,Snarky,sarcastic or caustic in nature
10441,Snarl,growl
10442,Snatch,to grab something quickly
10443,Sneak peak,an opportunity to see something before it is officially accessible
10444,Sneak,to move about in a sly and secretive manner
10445,Sneaky,behaving in a sly or secretive manner
10446,Sneer,to speak or smile in an unkind way
10447,Sneeze,suddenly and involuntarily blowing air from the nose
10448,Snicker,to let out a half-suppressed laugh in a disrespectful way
10449,Snide,indirectly unkind or insulting
10450,Sniff,bringing in air through the nose in order to smell something
10451,Sniffle,"to sniff over and over again, usually when sick or crying"
10452,Snip,"to cut something with a small, quick stroke"
10453,Snipe,to shoot at someone from a hiding place
10454,Sniper,one that shoots at someone from a hiding place
10455,Snippet,a small piece of something
10456,Snippy,used to describe rude behavior or communication that is brief or curt
10457,Snitch,a person who reports the wrongdoing of others to someone in an authority position
10458,Sniveling,whining while in tears
10459,Snob,a person who is condescending and thinks they are better than those around them
10460,Snobbery,the attitude or behavior of a person who is condescending and thinks they are better than those around them
10461,Snobbish,"describes a person who looks down on others based on superficial reasons (good looks, wealth)"
10462,Snoop,"to look around a place secretly, in an attempt to discover things or find out information"
10463,Snooty,an attitude of disdain or contempt towards others
10464,Snooty,"rude and arrogant, especially to those from a lower class"
10465,Snore,breathing with a grunting or snorting sound while sleeping
10466,Snout,the mouth and nose of an animal that projects out
10467,Snow,frozen water vapor that falls down in small flakes
10468,Snub,the ignoring or brushing off of someone
10469,Snuff,to put out a flame
10470,Snug,fitting tightly
10471,Snuggery,a comfortable place or position
10472,Soar,to rise high
10473,Sob,to cry in a noisy fashion or a loud gasp made when a person cries
10474,Sober,"sober means solemn, serious, and sensitive"
10475,Sober,not affected by alcohol or illegal drugs
10476,Sobriety,the state of being not using alcohol or illegal drugs
10477,Sobriquet ,a commonly used name for an individual that is usually shorter than the person’s real name
10478,Sociable,friendly and willing to spend time and talk with other people
10479,Social construct,an ideal or system that exists only because humans have put it in place
10480,Social Contract,the philosophical notion that people surrender their freedoms to a government in exchange for the security and stability they provide
10481,Socialism,a system of rule in which the government controls the main industries
10482,Socialist,an individual who supports the policies of socialism
10483,Socialite,a trendsetting young woman who is frequently seen at society’s important events
10484,Socialization,the process of talking to or doing activities with others
10485,Socially,relating to society or a social situation with others
10486,Society,an organized group of people
10487,Socioeconomic,socioeconomic is a term used to describe social and economic factors
10488,Sociologist,a sociologist is a person who studies patterns of social behavior
10489,Sociology,"sociology is the scientific study of social behavior, patterns, and structure"
